20511, -0.211, 0.342, 0.933, -2.012, 1.463, -0.061, -5, 4, -14,
20515, -0.202, 0.331, 0.935, -1.037, 0.000, 0.305, -5, 4, -14,
20520, -0.197, 0.318, 0.935, 0.000, -0.183, -0.610, -5, 4, -14,
20524, -0.211, 0.343, 0.932, -0.305, -0.183, 0.000, -5, 4, -14,
20529, -0.194, 0.344, 0.924, -1.646, 0.854, -0.244, -5, 5, -14,
20533, -0.198, 0.338, 0.939, -0.976, 0.183, 0.000, -5, 5, -14,
20538, -0.189, 0.330, 0.943, 0.305, -0.366, 0.000, -5, 5, -14,
20542, -0.222, 0.320, 0.925, -0.427, 0.000, -0.244, -5, 5, -14,
20546, -0.199, 0.352, 0.930, -1.463, 0.854, 0.000, -5, 5, -14,
20551, -0.186, 0.342, 0.928, -0.610, 1.037, -0.244, -5, 5, -14,
20555, -0.187, 0.306, 0.941, 0.122, -0.244, -0.305, -5, 5, -14,
20560, -0.203, 0.316, 0.933, -0.122, 0.183, -0.061, -5, 5, -14,
20564, -0.204, 0.336, 0.934, -0.427, 0.610, -0.183, -5, 5, -13,
20568, -0.187, 0.343, 0.932, 0.000, 0.610, -0.183, -5, 5, -13,
20573, -0.192, 0.322, 0.934, 0.000, 0.000, 0.061, -5, 5, -13,
20577, -0.209, 0.329, 0.937, -0.122, -0.061, -0.061, -5, 5, -13,
20582, -0.200, 0.348, 0.930, -0.915, 0.732, 0.122, -6, 5, -14,
20586, -0.202, 0.332, 0.929, -0.854, 0.122, 0.366, -6, 5, -14,
20591, -0.206, 0.330, 0.940, 0.488, -0.549, -0.183, -6, 5, -14,
20595, -0.202, 0.327, 0.928, -0.488, 0.061, 0.305, -6, 5, -14,
20599, -0.208, 0.338, 0.929, -0.854, 0.366, 0.000, -6, 5, -14,
20604, -0.197, 0.331, 0.931, -0.793, -0.244, 0.000, -6, 5, -14,
20608, -0.227, 0.334, 0.925, -0.244, -0.183, 0.366, -6, 5, -14,
20613, -0.210, 0.335, 0.938, -0.427, 0.183, 0.183, -6, 5, -14,
20617, -0.178, 0.322, 0.935, -0.671, 0.183, 0.000, -6, 6, -14,
20621, -0.188, 0.334, 0.933, -0.610, 0.122, 0.000, -6, 6, -14,
20626, -0.210, 0.321, 0.933, -0.183, -0.305, 0.244, -6, 6, -14,
20630, -0.200, 0.334, 0.931, -0.061, -0.427, 0.000, -6, 6, -14,
20635, -0.208, 0.318, 0.917, -0.183, 0.183, 0.366, -5, 5, -15,
20639, -0.197, 0.327, 0.935, -0.732, -0.061, 0.183, -5, 5, -15,
20643, -0.201, 0.340, 0.930, -0.427, 0.000, -0.061, -5, 5, -15,
20648, -0.204, 0.341, 0.934, -0.488, -0.061, 0.244, -5, 5, -15,
20652, -0.203, 0.339, 0.926, -0.122, -0.061, 0.122, -5, 4, -14,
20657, -0.202, 0.324, 0.941, 0.305, 0.000, 0.427, -5, 4, -14,
20661, -0.193, 0.332, 0.932, -0.061, 0.549, 0.427, -5, 4, -14,
20665, -0.206, 0.332, 0.918, -0.366, 0.061, 0.610, -5, 4, -14,
20670, -0.205, 0.360, 0.927, -0.549, 0.061, 0.000, -6, 5, -14,
20674, -0.200, 0.323, 0.936, -0.061, -0.427, 0.915, -6, 5, -14,
20679, -0.205, 0.315, 0.918, 0.244, -0.732, -0.488, -6, 5, -14,
20683, -0.201, 0.349, 0.924, -1.646, 0.183, 0.488, -6, 5, -14,
20687, -0.192, 0.346, 0.932, -1.524, 1.463, 0.000, -6, 4, -14,
20692, -0.188, 0.317, 0.934, -0.366, -0.610, -0.122, -6, 4, -14,
20696, -0.220, 0.340, 0.946, -0.061, -0.793, 0.488, -6, 4, -14,
20701, -0.202, 0.343, 0.922, -0.793, -0.183, -0.061, -6, 4, -14,
20705, -0.200, 0.351, 0.931, -1.159, 0.366, 0.122, -5, 4, -14,
20710, -0.193, 0.322, 0.941, 0.427, 0.000, 0.122, -5, 4, -14,
20714, -0.199, 0.338, 0.941, -0.488, 0.061, 0.061, -5, 4, -14,
20718, -0.203, 0.350, 0.923, -0.244, 0.793, -0.061, -5, 4, -14,
20723, -0.187, 0.345, 0.942, 0.000, 0.488, 0.000, -4, 5, -13,
20727, -0.191, 0.315, 0.949, 0.000, -0.244, 0.183, -4, 5, -13,
20732, -0.208, 0.331, 0.919, 0.000, -0.488, 0.183, -4, 5, -13,
